Year,Make,Model,Condition,Price,SellerName,SellerRating,StreetName,State,ExteriorColor,MinMPG,MaxMPG,FuelType,Mileage
2016,Hyundai,Sonata Hybrid SE,Used,18375,Sheehy Hyundai of Waldorf,4.5,2910 Crain Hwy Waldorf,MD,Diamond White Pearl,40,44,Hybrid,72278
2017,Toyota,Corolla LE,Used,13899,Ferco Motors,3.4,1740 SW 1st St Miami,FL,Aqua,28,36,Gasoline,54898
2016,Nissan,Rogue SV,Nissan Certified,19998,Kelly Nissan,4.9,3830 Easton Nazareth Hwy Easton,PA,Magnetic Black,25,32,Gasoline,74430
2019,Subaru,Forester,Subaru Certified,27977,Brattleboro Subaru,4.8,1234 Putney Rd Brattleboro,VT,Crystal Black Silica,26,33,Gasoline,12679
2019,Subaru,Forester,Used,23990,Star Auto Sales,4.4,1030 Temple St Whitman,MA,Crystal White Pearl,26,33,Gasoline,10460
2019,Honda,CR-V EX-L,Used,29875,Jim Marsh Chrysler Jeep,4.8,8575 W Centennial Pkwy Las Vegas,NV,–,28,34,Gasoline,21868
2018,Subaru,Outback 2.5i Limited,Used,29499,AutoNation Subaru Scottsdale,4.7,15678 N Northsight Blvd Scottsdale,AZ,Crystal White Pearl,25,32,Gasoline,47445
2018,Mazda,CX-5 Grand Touring,Used,27499,AutoNation Buick GMC West,4.4,16400 W Colfax Ave Golden,CO,Jet Black Mica,25,31,Gasoline,37852
2021,Tesla,Model Y Performance,Used,74799,INFINITI of San Antonio,4.7,12150 I-10 San Antonio,TX,Pearl White Multi,115,106,Electric,12708
2021,Mazda,Mazda3 FWD w/Preferred Package,Used,27981,South Point Hyundai,4.7,4610 IH 35 South Austin,TX,Snowflake White Pearl,26,35,Gasoline,11945
2021,Kia,Forte FE,Used,16999,For Less Autohaus,4.1,2636 Brenner Dr Dallas,TX,Black,31,41,Gasoline,14606
2019,Honda,CR-V EX-L,Used,33997,Lee's Summit Subaru,2.9,2101 NE Independence Ave Lees Summit,MO,Molten Lava Pearl,27,33,Gasoline,19426
2019,BMW,330 i xDrive,Used,40000,McCarthy Blue Springs Hyundai,4.6,3000 NW S Outer Rd Blue Springs,MO,Alpine White,25,34,Gasoline,39186
2021,Tesla,Model Y Long Range,Used,74900,Heartland Chrysler Dodge Jeep Ram,4.5,2017 W Jesse James Rd Excelsior Springs,MO,White,131,117,Electric,10926
2017,Honda,Accord LX,Used,17352,RAVMOTORS of Crystal,4.7,5241 W Broadway Ave Minneapolis,MN,Black,27,36,Gasoline,65076
2018,Nissan,Rogue SL,Used,22177,Hyundai of Palatine,4.5,221 E Lake Cook Rd Palatine,IL,Gun Metallic,25,32,Gasoline,54163
2020,Honda,Civic Sport,Honda Certified,29628,Russ Darrow Honda,4.7,10851 W Metro Auto Mall Milwaukee,WI,Sonic Gray Pearl,29,35,Gasoline,17288
2018,Honda,Accord LX,Honda Certified,29275,Shottenkirk Honda of Cartersville,4.7,539 E Main St Cartersville,GA,Champagne Frost Pearl,30,38,Gasoline,13112
2017,Chevrolet,Trax LS,Chevrolet Certified,17488,Serra - Whelan Chevrolet,4.8,40445 Van Dyke Ave 18 Mile Sterling Heights,MI,Silver Ice Metallic,25,33,Gasoline,30364
2021,Mercedes-Benz,GLA 250 Base,Used,43850,Mercedes-Benz of Orlando,4.7,810 N Orlando Ave Maitland,FL,Polar White,25,34,Gasoline,10732
2014,FIAT,500L Easy,Used,9900,Westgate Chrysler Jeep Dodge Ram,4.4,6421 Old Westgate Road Raleigh,NC,Nero Puro,25,33,Gasoline,65629
2015,Honda,Civic LX,Used,15995,Inline Auto Sales,4.2,2900 N Main St Fuquay Varina,NC,Black,30,39,Gasoline,47467
2017,Honda,Civic LX,Used,19981,Sheehy Toyota of Stafford,4.8,95 Garrisonville Rd Stafford,VA,White,31,40,Gasoline,51430
2016,Nissan,Rogue SV,Used,18485,Concordville Nissan,4.5,452 Wilmington Pike Glen Mills,PA,Pearl White,25,32,Gasoline,73347
2016,Nissan,Rogue SV,Used,15969,Hertrich Capitol Mazda,4.6,1127 S Dupont Hwy Dover,DE,Magnetic Black,25,32,Gasoline,99498
2016,Nissan,Rogue SV,Used,19900,Fairless Motors,4,435 Lincoln Hwy Fairless Hills,PA,Midnight Jade,26,33,Gasoline,43121
2019,Toyota,Camry XSE,Toyota Certified,30959,Sansone Rt 1 Auto Mall,4.1,90-100 Rt 1 North Avenel,NJ,Midnight Black Metallic,28,39,Gasoline,15341
2019,Toyota,Camry XSE,Used,29900,Eastchester Chrysler Jeep Dodge RAM,4.4,4007 Boston Rd Bronx,NY,Black,28,39,Gasoline,22207
2019,Subaru,Forester,Used,26998,CarMax Manchester - Now offering Curbside Pickup,1,300 Keller St Manchester,NH,Crystal Black Silica,26,33,Gasoline,33711
2019,Mazda,CX-5 Grand Touring,Used,30299,Hello Mazda of Temecula,4.6,42050 Dlr Drive Temecula,CA,Jet Black Mica,25,31,Gasoline,18410
2020,Tesla,Model Y Long Range,Used,73990,Hyundai of Vacaville,4.7,641 Orange Dr Vacaville,CA,Black,127,114,Electric,10729
2021,Tesla,Model Y Long Range,Used,72650,Camelback Toyota,4.3,1550 E Camelback Rd Phoenix,AZ,Midnight Silver Metallic,131,117,Electric,13919
2016,Subaru,Crosstrek 2.0i Premium,Used,19687,Five Star Motors Inc.,4.4,212 S Boone St Aberdeen,WA,Quartz Blue Pearl,26,34,Gasoline,94374
2018,Subaru,Crosstrek 2.0i Limited,Used,28952,AutoNation Subaru Spokane Valley,4.6,10000 E Sprague Ave Spokane Valley,WA,Sunshine Orange,27,33,Gasoline,45209
2021,Tesla,Model Y Long Range,Used,75209,INFINITI of San Antonio,4.7,12150 I-10 San Antonio,TX,Pearl White Multi,131,117,Electric,14347
2018,Hyundai,Elantra SEL,Used,15500,Premier Auto Outlet KC,4.6,1801 N 100th Terrace Kansas City,KS,Electric Blue,28,37,Gasoline,51503
2018,Honda,HR-V LX,Used,17997,Import Auto Sales,4.2,730 Florida Ave S Golden Valley,MN,Gray,27,31,Gasoline,42436
2018,Subaru,Forester 2.5i Limited,Subaru Certified,26999,Morrie's Brooklyn Park Subaru,4.7,7885 Brooklyn Blvd Minneapolis,MN,Dark Gray Metallic,26,32,Gasoline,51492
2020,Nissan,Rogue SL,Used,33277,All Star Nissan,4.6,27700 Juban Road Denham Springs,LA,Magnetic Black Pearl,26,33,Gasoline,23320
2019,Buick,Encore Preferred,Used,21989,EchoPark Automotive New Orleans Delivery Center,2,Online Only Metairie,LA,Ebony Twilight Metallic,25,30,Gasoline,30406
2018,Toyota,RAV4 Hybrid XLE,Toyota Certified,30999,Oakbrook Toyota in Westmont,4.7,550 E Ogden Ave Westmont,IL,Super White,34,30,Hybrid,41944
2018,Honda,Civic LX,Used,15995,"EXPORT AUTO SALES, INC.",5,2100 Nolensville Pike Nashville,TN,Black,31,40,Gasoline,43374
2020,Honda,CR-V Hybrid Touring,Used,38999,AutoNation Honda Columbus,4.7,3000 N Lake Pkwy Columbus,GA,Lunar Silver Metallic,40,35,Hybrid,36896
2019,Tesla,Model 3 Standard Range Plus,Used,49996,Grand Motorcars,4,1860 Roswell Rd Marietta,GA,Gray,140,124,Electric,16172
2020,Chevrolet,Equinox 1LT,Used,27995,Suburban Chevrolet Cadillac of Ann Arbor,4.8,3515 Jackson Road Ann Arbor,MI,Mosaic Black Metallic,25,30,Gasoline,19220
2019,Hyundai,Elantra SE,Used,13950,Clintonville Motors,4.2,3613 Indianola Ave Columbus,OH,Silver,29,38,Gasoline,30767
2019,Honda,Civic Sport,Used,24998,CarMax Winston-Salem - Now offering Curbside Pickup and Home Delivery,3.5,1580 Hanes Mall Blvd Winston-Salem,NC,Silver,29,37,Gasoline,51465
2021,Toyota,Highlander Hybrid Limited,Used,48916,Phillips Chrysler Dodge Jeep Ram,4.7,3440 S Pine Ave Ocala,FL,Ruby Flare Pearl,35,34,Hybrid,17785
2020,Nissan,Rogue Sport S,Used,22790,Kuhn Volkswagen,4.7,3900 W Kennedy Blvd Tampa,FL,Gun Metallic,25,32,Gasoline,19333
2017,Acura,ILX w/AcuraWatch Plus,Used,6950,AE of Miami,3.5,5700 NW 27th Ave Miami,FL,White,25,35,Gasoline,54640
2013,Toyota,Prius Three,Used,16654,Checkered Flag BMW & Mini,4.9,5225 Virginia Beach Blvd Virginia Beach,VA,Silver,51,48,Hybrid,107171
2019,Subaru,Impreza 2.0i Premium,Used,22894,AutoProved,4.8,1081 E Congress St Allentown,PA,Crimson Red Pearl,28,36,Gasoline,28956
2019,BMW,330 i xDrive,BMW Certified,39816,BMW of Turnersville,4.7,3400 Route 42 Turnersville,NJ,Jet Black,25,34,Gasoline,17072
2019,Toyota,Camry XSE,Toyota Certified,31491,Toyota of Hackensack,4.5,278 River St Hackensack,NJ,Blue Streak / Midnight Black Metallic,28,39,Gasoline,16821
2019,Honda,CR-V EX-L,Used,31336,Acton Toyota of Littleton,4.8,221 Great Rd Route 2A Littleton,MA,Gray,27,33,Gasoline,37744
2018,Mazda,CX-5 Grand Touring,Used,27500,Manly Hyundai,4.8,2755 Corby Ave Santa Rosa,CA,Jet Black Mica,25,31,Gasoline,31846
2020,Toyota,Corolla SE,Used,25995,Yates Buick GMC,4.7,13845 W Test Dr Goodyear,AZ,Black Sand Pearl,31,40,Gasoline,42282
2018,Tesla,Model S 75D,Used,60000,Bill Luke Chrysler Jeep Dodge RAM,4.3,2425 W Camelback Rd Phoenix,AZ,Black,102,105,Electric,47069
2020,BMW,X3 sDrive30i,BMW Certified,42962,BMW of San Antonio,4.5,15507 W IH10 San Antonio,TX,Jet Black,25,29,Gasoline,30471
2020,Nissan,Rogue SL,Nissan Certified,32989,Don Davis Nissan,4.7,1320 E Interstate 20 Arlington,TX,Magnetic Black,26,33,Gasoline,39569
2019,Subaru,Outback 2.5i Limited,Used,26947,Sharp Automotive,4.2,1112 9th Ave SW Watertown,SD,Magnetite Gray Metallic,25,32,Gasoline,82274
2014,Mazda,Mazda3 i SV,Used,12987,North Imports,4.5,1705 Highway 13 East Burnsville,MN,Meteor Gray Mica,30,41,Gasoline,54552
2021,Tesla,Model Y Performance,Used,74000,"Napleton Hyundai, Genesis of Hazelwood",4.8,649 Dunn Rd Hazelwood,MO,Gray,115,106,Electric,10395
2019,Honda,CR-V EX-L,Used,35573,Mungenast St. Louis Honda,4.9,5939 S Lindbergh Blvd Saint Louis,MO,Gunmetal Metallic,27,33,Gasoline,38276
2019,Tesla,Model 3 Performance,Used,57775,Highline Auto Sales,4.6,555 Executive Dr Willowbrook,IL,Pearl White Multi,120,112,Electric,42427
2020,Ford,Fusion Hybrid Titanium,Used,29590,AutoNation Toyota Libertyville,4.3,1180 S Milwaukee Ave Libertyville,IL,Magnetic Metallic,43,41,Hybrid,31923
2020,Tesla,Model Y Long Range,Used,69000,Napleton Italian Imports,4.7,4180 E 96th St Indianapolis,IN,White,127,114,Electric,11382
2019,Chevrolet,Equinox Premier w/1LZ,Chevrolet Certified,28572,Dave White Chevrolet,4.6,5880 Monroe St Sylvania,OH,Mosaic Black Metallic,25,30,Gasoline,39996
2019,Volkswagen,Jetta 1.4T S,Used,19982,Automax Atlanta,4.1,5034 Lawrenceville Hwy NW Lilburn,GA,Habanero Orange Metallic,30,40,Gasoline,50492
2015,Volkswagen,Golf TSI S 2-Door,Used,16500,Koons Tysons Toyota,4.4,8610 Leesburg Pike Vienna,VA,Black,25,37,Gasoline,46024
2019,Honda,CR-V EX-L,Honda Certified,30495,AutoNation Honda Miami Lakes,4.7,5925 NW 167th St Miami Lakes,FL,Crystal Black Pearl,28,34,Gasoline,21299
2019,BMW,330 i xDrive,Used,29595,INFINITI of Englewood,3.7,60 Rockwood Place ENGLEWOOD,NJ,Black Sapphire Metallic,25,34,Gasoline,55246
2019,Subaru,Crosstrek 2.0i Premium,Used,25999,DELLA Mitsubishi,4.6,7 Della Dr Plattsburgh,NY,Sunshine Orange,27,33,Gasoline,15207
2019,Toyota,Corolla SE,Used,23998,CarMax Manchester - Now offering Curbside Pickup,1,300 Keller St Manchester,NH,Silver,28,35,Gasoline,25883
2019,MINI,Convertible Cooper,Used,26975,Imotobank,3.1,4-8 Industrial Rd Walpole,MA,Blue,28,37,Gasoline,14164
2018,Mazda,Mazda3 Sport,Used,18807,LAX Automotive,4.8,1030 W Manchester Blvd Inglewood,CA,Soul Red Metallic,28,37,Gasoline,31859
2016,Hyundai,Veloster Turbo,Used,13999,Metro Automobiles,3.6,2550 Manana Dr Dallas,TX,Ultra Black,27,33,Gasoline,43924
2021,Toyota,Sienna XSE 7 Passenger,Used,64991,South Toyota,4.7,39660 Lyndon B Johnson Fwy Dallas,TX,Gray,36,36,Hybrid,13566
2017,Lincoln,MKZ Hybrid Reserve,Used,27993,Southwest Kia of Rockwall,1,1790 East I-30 Rockwall,TX,Burgundy Velvet Tinted Clearcoat,41,38,Hybrid,38655
2020,Nissan,Rogue SL,Used,30991,Nissan of Greenville,4.5,6403 I-30 Frontage Rd Greenville,TX,Scarlet Ember,26,33,Gasoline,30500
2019,Toyota,RAV4 LE,Used,29952,AutoNation Toyota Corpus Christi,4.6,6672 S Padre Island Dr Corpus Christi,TX,Ruby Flare Pearl,26,35,Gasoline,14804
2019,Subaru,Impreza 2.0i Sport,Used,21498,Walser Experienced Autos Burnsville,4.2,600 W 121st St Burnsville,MN,White,27,36,Gasoline,112417
2017,Subaru,Forester 2.5i Premium,Used,17854,RAVMOTORS of Crystal,4.7,5241 W Broadway Ave Minneapolis,MN,Dark Gray Metallic,26,32,Gasoline,58476
2018,Toyota,RAV4 Hybrid Limited,Toyota Certified,30995,Toyota Direct,3.9,4248 Morse Rd Columbus,OH,Galactic Aqua,34,30,Hybrid,58539
2018,Honda,Accord EX-L,Used,29900,Union County Kia,4.8,4712 W HIGHWAY 74 Monroe,NC,Radiant Red Metallic,30,38,Gasoline,51175
2021,Honda,CR-V EX-L,Used,36000,Heritage Honda of Westminster,4.9,580 Baltimore Blvd Westminster,MD,Platinum White Pearl,27,32,Gasoline,15028
2022,Tesla,Model 3 Long Range,Used,65499,Koons Clarksville Chevy Buick GMC,4.5,12421 Auto Dr Clarksville,MD,Deep Blue Metallic,134,126,Electric,4921
2019,BMW,330 i,BMW Certified,44995,BMW of Honolulu,4.5,777 Kapiolani Blvd Honolulu,HI,Black Sapphire Metallic,26,36,Gasoline,16389
2019,Subaru,Forester,Used,25975,AutoFair Subaru,4.6,503 North Broadway Haverhill,MA,Crystal Black Silica,26,33,Gasoline,22502
2019,BMW,330 i,BMW Certified,34998,Stevens Creek BMW,4.4,4343 Stevens Creek Blvd Santa Clara,CA,Black,26,36,Gasoline,19099
2017,Honda,HR-V LX,Used,20888,Fremont Chrysler Dodge Jeep Ram,4.5,39639 Balentine Dr Newark,CA,Modern Steel Metallic,28,34,Gasoline,75271
2020,Toyota,Corolla SE,Toyota Certified,21978,Right Toyota,4.6,7701 E. Frank Lloyd Wright Blvd. Scottsdale,AZ,Blizzard Pearl,31,40,Gasoline,56098
2020,Honda,Accord EX-L,Used,27995,LUXE Automotive,5,6115 L Street Omaha,NE,Platinum White Pearl,30,38,Gasoline,14369
2019,Honda,CR-V EX-L,Honda Certified,33000,Wolfchase Honda,4.8,2982 N Germantown Pkwy Bartlett,TN,Gunmetal Metallic,28,34,Gasoline,33223
2020,Hyundai,Elantra SEL,Used,21990,Michigan City Hyundai,4.7,4411 E Michigan Blvd Lot B,Michigan,Portofino Gray,30,40,Gasoline,38537
2017,Honda,CR-V Touring,Honda Certified,29980,Basney Honda,4.7,3820 Grape Rd Mishawaka,IN,Black,27,33,Gasoline,62513
2019,Volkswagen,Jetta 1.4T S,Used,15999,Amazing Auto Center,2.6,223 B West Hampton Ave Capitol Heights,MD,Black,30,40,Gasoline,48300
2020,Nissan,Rogue S,Used,21995,Route 46 Nissan,4.2,440 US-46 Totowa,NJ,Magnetic Black,25,32,Gasoline,18447
2019,BMW,330 i xDrive,BMW Certified,38698,Herb Chambers BMW MINI of Boston,4.7,1168 Commonwealth Ave Boston,MA,Black Sapphire Metallic,25,34,Gasoline,32770
2019,Toyota,Mirai Base,Toyota Certified,23989,Toyota Santa Monica,4.4,801 Santa Monica Blvd Santa Monica,CA,Crystal White,66,66,Electric,12321
2020,Toyota,RAV4 LE,Used,30365,AutoNation Nissan Las Vegas,4.6,5800 W Sahara Ave Las Vegas,NV,Magnetic Gray Metallic,27,35,Gasoline,17797
2017,Toyota,Prius Four,Used,28860,Capitol Volkswagen,4,911 Capitol Expressway Auto Mall San Jose,CA,Classic Silver Metallic,54,50,Hybrid,48840
2021,Tesla,Model Y Long Range,Used,78500,Stevens Creek Nissan,3,4855 Stevens Creek Blvd Santa Clara,CA,Deep Blue Metallic,131,117,Electric,34042
2019,Toyota,Mirai Base,Toyota Certified,20992,Toyota Sunnyvale,4.8,1124 W El Camino Real Sunnyvale,CA,Crystal White,66,66,Electric,19697
2020,Tesla,Model X Long Range,Used,94981,Surprise Ford,2.8,16825 W Waddell Rd Surprise,AZ,White,99,93,Electric,36199
2016,Subaru,Crosstrek 2.0i Premium,Used,25998,CarMax Renton - Now offering Curbside Pickup,4.3,3751 E Valley Rd Renton,WA,Crystal White Pearl,26,34,Gasoline,40762
2019,Chevrolet,Trax LS,Used,19985,AutoNation Chevrolet Waco,4.6,1625 N Valley Mills Dr Waco,TX,Storm Blue Metallic,26,31,Gasoline,34881
2018,Subaru,Outback 2.5i Premium,Used,21300,AutoSavvy Omaha,4.5,608 FORT CROOK ROAD N BELLEVUE,NE,Ice Silver Metallic,25,32,Gasoline,45322
2021,Mazda,CX-5 Grand Touring,Used,30995,Douglass Mazda,4.7,3100 Briarcrest Drive Bryan,TX,Snowflake White Pearl,25,31,Gasoline,47697
2017,Nissan,Rogue SL,Used,25825,Wood Nissan of Kansas City,4.7,1025 Southeast Oldham Parkway Lee's Summit,MO,Palatial Ruby,26,33,Gasoline,24368
2021,Toyota,RAV4 XLE,Used,33000,"Nyhus Family Sales, Inc.",4.9,456 3rd Ave SE Perham,MN,Silver,27,33,Gasoline,48705
2019,Chevrolet,Trax LS,Used,22000,Weiss Toyota of South County,4.7,11771 Tesson Ferry Rd Saint Louis,MO,Silver Ice Metallic,26,31,Gasoline,17592
2019,Honda,CR-V EX-L,Used,31500,Patty Peck Honda,4.7,555 Sunnybrook Rd Ridgeland,MS,Modern Steel Metallic,28,34,Gasoline,35203
2019,Tesla,Model 3 Long Range,Used,56731,Stykemain Chevrolet,4.8,1255 N Williams St Paulding,OH,Pearl White Multi,120,112,Electric,30935
2021,Toyota,RAV4 LE,Toyota Certified,33045,Tansky Sawmill Toyota,4.6,6300 Sawmill Rd Dublin,OH,Silver Sky Metallic,27,34,Gasoline,11545
2019,Honda,Accord Sport,Used,27439,EchoPark Automotive Johnson City Delivery Center,3.7,ONLINE ONLY Johnson City,TN,Crystal Black Pearl,29,35,Gasoline,45840
2018,Honda,Civic LX,Used,16000,Auto Boutique,4.8,10100 Atlantic BLVD Jacksonville,FL,Black,31,40,Gasoline,80747
2021,Tesla,Model Y Long Range,Used,72994,CarHeroes,4.4,11715 E Dr Martin Luther King Jr Blvd Seffner,FL,Pearl White Multi,131,117,Electric,18928
2021,BMW,330 i,BMW Certified,44471,BMW of Sarasota,4.7,5151 Clark Rd Sarasota,FL,Black Sapphire Metallic,26,36,Gasoline,16554
2020,Toyota,Highlander Hybrid Platinum,Used,51995,A&A International Inc,4.6,5304 Park Heights Ave Baltimore,MD,White,35,34,Hybrid,15419
